Wavelength,FluxDens1,FluxDens2,r_a,r_b,T_r,N_r,pix,res,dis,,,,,,,,
4.20562,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20564,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20566,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20568,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2057,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20572,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20574,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20576,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20578,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2058,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20582,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20584,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20586,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20588,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2059,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20592,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20594,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20596,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20598,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.206,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20602,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20604,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20606,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20608,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2061,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20612,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20614,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20616,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20618,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2062,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20622,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20624,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20626,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20628,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2063,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20632,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20634,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20636,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20638,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2064,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20642,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20644,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20646,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20648,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2065,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20652,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20654,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20656,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20658,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2066,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20662,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20664,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20666,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20668,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2067,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20672,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20674,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20676,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20678,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2068,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20682,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20684,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20686,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20688,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.2069,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20692,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20694,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20696,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20698,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.207,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
4.20702,0.00E+00,0.00E+00,,,,,,,,,,,,,,,
